
2025/09/23 (14:27:21) | ===> btop++ v.1.3.2
2025/09/23 (14:27:21) | WARNING: Failed to join _runner thread on exit!

2025/09/24 (15:08:45) | ===> btop++ v.1.3.2
2025/09/24 (15:08:45) | WARNING: Failed to join _runner thread on exit!

2025/09/24 (16:50:51) | ===> btop++ v.1.3.2
2025/09/24 (16:50:51) | WARNING: Failed to join _runner thread on exit!

2025/09/25 (14:07:26) | ===> btop++ v.1.3.2
2025/09/25 (14:07:26) | WARNING: Failed to join _runner thread on exit!

2025/09/25 (14:12:56) | ===> btop++ v.1.3.2
2025/09/25 (14:12:56) | WARNING: Failed to join _runner thread on exit!

2025/09/26 (15:41:02) | ===> btop++ v.1.3.2
2025/09/26 (15:41:02) | WARNING: Failed to join _runner thread on exit!
